"Table 3-4. Broad occupation category of employed U.S. scientists and engineers with a doctorate as the highest degree, by field of highest degree: 2013",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Level and field of highest degree             ,,,,S&E occupations,,,,,,,,,,S&E-related occupations,,,,,,,,,,,
,All occupations,,,Biological/ agricultural/,,Computer/ mathematical,,Physical/ related scientists,,Social/ related scientists,,Engineering,,Health occupations,,"S&E managers, including health",,S&E pre-college teachers,,S&E technicians and technologists,,Other S&E-related occupations,,Non-S&E occupations,
,,,,other life scientists,,scientists,,,,,,,,,,,,,,,,,,,
,Number,SE,Percent,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE,Percent,SE
          Technology/ technical fields,"4,000","1,500",100,D,D,D,D,D,D,D,D,25,11.65,D,D,D,D,D,D,D,D,D,D,S,S
          Other S&E-related fields,"2,000","1,000",100,D,D,D,D,D,D,S,S,D,D,D,D,D,D,D,D,D,D,D,D,*,*
     Non-S&E field,"192,000","11,000",100,1.6,0.5,5.2,1.15,0.5,0.25,14.1,1.55,0.5,0.2,8.9,2.1,3.1,0.9,6.8,2.65,D,D,D,D,59.4,3.15
          Art/ humanities fields,"27,000","4,500",100,D,D,D,D,D,D,7.4,2.9,D,D,D,D,D,D,*,*,D,D,D,D,85.2,5.15
"          Education, except science/ math teacher education","73,000","7,500",100,D,D,4.1,1.7,D,D,2.7,1.15,D,D,11,3,D,D,S,S,D,D,D,D,65.8,5.35
          Management/ administration,"21,000","4,000",100,D,D,4.8,2.85,D,D,9.5,3.05,D,D,D,D,D,D,D,D,D,D,D,D,61.9,8.45
          Sales/ marketing,"7,000","2,500",100,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,85.7,6.05
          Social services/ related,"37,000","4,500",100,D,D,5.4,2,D,D,29.7,5.25,D,D,S,S,D,D,S,S,D,D,D,D,40.5,6.25
          Other non-S&E field,"28,000","3,500",100,D,D,D,D,D,D,35.7,6.2,D,D,14.3,5.55,D,D,D,D,D,D,D,D,28.6,6.1
,,,,,,,,,,,,,,,,,,,,,,,,,
Data codes used in these tables: * = value < 500. D = suppressed to avoid disclosure of confidential information. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,,,,,,,,,,,,,,,
Abbreviations used in these tables: S&E = science and engineering; SE = standard error.,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES: Numbers are rounded to the nearest 1,000. Standard errors for numbers are rounded up to the nearest 500. Detail may not add to total because of rounding. Scientists and engineers are bachelor's and higher degreed individuals living in the United States with an S&E or S&E-related degree or occupation. See appendix for additional details on coverage, eligibility, educational field classification, and occupational classification. The doctorate estimates are from the Scientists and Engineers Statistical Data System (SESTAT), which represents the total U.S. college educated population. This is in contrast to the doctorate estimates from the Survey of Doctorate Recipients, which represent the population of U.S. doctorate degree recipients.",,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT): 2013.",,,,,,,,,,,,,,,,,,,,,,,,,
"Data from survey cycle 2013, as of 24 February 2015.",,,,,,,,,,,,,,,,,,,,,,,,,
